0,big mac,0
2,quarter pounder with cheese,0
3,chicken mcnuggets,0
4,hamburger,0
5,fries,0
6,chick-fil-a chick-n-strips,2
7,chick-fil-a chicken salad sandwich,2
8,side salad,2
9,biscuit bacon egg and cheese,2
10,biscuit with egg,2
11,whopper sandwich,3
12,hamburger,3
13,bacon cheeseburger,3
14,original chicken sandwich,3
15,french fries,3
16,shackburger,4
17,cheeseburger,4
18,chick'n bites,4
19,regular fries,4
20,bacon cheese fries,4
21,kfc chicken sandwich,5
22,mac and cheese,5
23,tenders combo,5
24,kentucky fried wings,5
25,whole kernel corn,5
26,sausage egg and cheese on croissant,6
27,cream cheese spread,6
28,english muffin,6
29,egg and cheese wake up wrap,6
30,blueberry muffin,6
31,fried rice,7
32,beijing beef,7
33,cream cheese rangoon,7
34,vegetable spring roll,7
35,mushroom chicken,7
36,bananas milkshake,8
37,coffee,8
38,bacon milkshake,8
39,cajun style fries,8
40,veggie sandwich,8
41,frosty shake strawberry,9
42,crispy chicken nuggets,9
43,spicy chipotle boneless wings,9
44,spring mix,9
45,spicy chicken fillet,9
46,nacho cheese doritos locos tacos,10
47,crunchy chicken taco,10
48,bean burrito,10
49,burrito supreme steak,10
50,black beans and rice,10
